Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
fixot-brendan-MS-7C02;8071;8405;0.043280001729727;673119;0.049999989569187;10.000001200139;0.19229300320148;0;1745708980;0;0;480826;0;0;90.000010801252;9.999998799861;0.044110998511314;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8437;0.088427998125553;760291;0.074999988079071;0;0.23374700546265;0;1745708980;6.6666669333642;0;526544;0;0;93.333337067099;14.999999399931;0.02644900046289;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8175;0.071846000850201;608582;0.10500000417233;0;0.31547600030899;0;1745708979;0;0;293106;0;0;99.999985712633;21.000003000347;0.071846000850201;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8230;0.0067320000380278;352807;0.014999998733401;0;0.54798197746277;0;1745708980;0;0;804825;0;0;100;3;0.0067320000380278;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8310;0.034717999398708;305435;0.099999994039536;0;0.38931000232697;0;1745708980;0;0;916125;0;0;99.999995999537;20.000000800093;0.1688539981842;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8406;0.032258000224829;963630;0.12500001490116;0;0.48276999592781;0;1745708980;0;0;480860;0;0;99.999977597411;25.000005400625;0.032258000224829;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8438;0.2958320081234;861108;0.094999998807907;0;0.33453398942947;0;1745708980;0;0;526574;0;0;99.999989472466;19.000001800208;0.08372899889946;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8470;0.012075999751687;190349;0.014999998733401;0;0.19514200091362;0;1745708981;0;0;995207;0;33.333333333333;66.666666666667;3;0.012075999751687;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8231;0.021818999201059;335821;0.014999998733401;0;0.5299379825592;0;1745708980;0;0;805883;0;0;100;3;0.013784999959171;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8311;0.20187099277973;328351;0.12999999523163;0;0.41219800710678;0;1745708980;0;0;916153;0;0;99.999988460203;26.000002800324;0.091054998338223;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8343;0.026195000857115;954335;0.014999998733401;0;0.54828298091888;0;1745708980;0;0;406052;0;0;100;3;0.01953100040555;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8407;0.22117699682713;962084;0.11499999463558;0;0.4811939895153;0;1745708980;0;0;480890;0;0;95.652167144774;23.000001000116;0.16927400231361;0;1745708980;0;4.3478258978987;
fixot-brendan-MS-7C02;8071;8176;0.19071999192238;739011;0.10499998182058;0;0.4458389878273;0;1745708979;0;0;293172;0;0;100.00000857242;20.999998199792;0.079154998064041;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8471;0.011686000041664;190398;0.014999998733401;0;0.1951729953289;0;1745708981;0;0;995225;0;33.333333333333;66.666666666667;3;0.011686000041664;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8344;0.0049990001134574;991190;0.01999999769032;0;0.58512002229691;0;1745708980;0;0;406070;0;0;100;4;0.0049990001134574;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8360;0.0051500000990927;963944;0.014999998733401;33.333333333333;0.51958400011063;0;1745708980;0;0;444360;0;0;66.666666666667;3;0.0061150002293289;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8408;0.048813998699188;963884;0.125;0;0.48293799161911;0;1745708980;0;0;480946;0;0;95.999991551022;25.000002200255;0.40137600898743;0;1745708980;0;3.9999996479593;
fixot-brendan-MS-7C02;8071;8456;0.11451900005341;787127;0.11500000208616;0;0.21700200438499;0;1745708980;0;4.3478255954063;570125;0;0;95.652162229272;23.000002600301;0.091596998274326;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8217;0.0067440001294017;352791;0.01999999769032;0;0.55575001239777;0;1745708980;0;0;797041;0;0;100;4;0.0067440001294017;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8345;0.013260000385344;983175;0.014999998733401;0;0.57705402374268;0;1745708980;0;0;406121;0;0;100;3;0.013260000385344;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8185;0.077301003038883;796582;0.11999999731779;0;0.4934209883213;0;1745708979;0;0;303161;0;0;99.999992499132;24.000001600185;0.10202100127935;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8161;0.23009699583054;639109;0.049999989569187;0;0.35295501351357;0;1745708979;0;0;286154;0;0;100.00001200139;9.999998799861;0.2106339931488;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8218;0.0050659999251366;334594;0.01999999769032;0;0.53753399848938;0;1745708980;0;0;797060;0;25;75;4;0.0050659999251366;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8298;0.15713700652122;405654;0.1600000411272;0;0.50303101539612;0;1745708980;0;0;902623;0;0;99.999966871174;32.000009601112;0.083089999854565;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8394;0.091042004525661;990201;0.12500001490116;0;0.51846700906754;0;1745708980;0;0;471734;0;0;99.999978397503;25.000005400625;0.074118003249168;0;1745708980;0;0;
fixot-brendan-MS-7C02;8071;8219;0;336299;0.014999998733401;0;0.53919798135757;0;1745708980;0;0;797101;0;0;100;3;0;0;1745708979;0;0;
fixot-brendan-MS-7C02;8071;8269;0.13839399814606;76330;0.064999990165234;0;0.19870400428772;0;1745708980;0;0;877626;0;0;100.0000076932;12.999998999884;0.044652998447418;0;1745708979;0;0;
