node;pid;tid;core_id;sample_count;
fixot-brendan-MS-7C02;8071;8506;5;23;
fixot-brendan-MS-7C02;8071;8286;4;3;
fixot-brendan-MS-7C02;8071;8286;6;4;
fixot-brendan-MS-7C02;8071;8309;4;18;
fixot-brendan-MS-7C02;8071;8309;5;3;
fixot-brendan-MS-7C02;8071;8309;6;2;
fixot-brendan-MS-7C02;8071;8177;5;9;
fixot-brendan-MS-7C02;8071;8177;6;4;
fixot-brendan-MS-7C02;8071;8505;1;10;
fixot-brendan-MS-7C02;8071;8505;3;3;
fixot-brendan-MS-7C02;8071;8505;4;8;
fixot-brendan-MS-7C02;8071;8134;2;7;
fixot-brendan-MS-7C02;8071;8134;5;1;
fixot-brendan-MS-7C02;8071;8134;6;14;
fixot-brendan-MS-7C02;8071;8090;6;3;
fixot-brendan-MS-7C02;8071;8462;1;1;
fixot-brendan-MS-7C02;8071;8462;2;20;
fixot-brendan-MS-7C02;8071;8223;1;3;
fixot-brendan-MS-7C02;8071;8287;6;20;
fixot-brendan-MS-7C02;8071;8143;2;6;
fixot-brendan-MS-7C02;8071;8143;3;10;
fixot-brendan-MS-7C02;8071;8143;4;6;
fixot-brendan-MS-7C02;8071;8335;1;2;
fixot-brendan-MS-7C02;8071;8335;5;1;
fixot-brendan-MS-7C02;8071;8335;6;18;
fixot-brendan-MS-7C02;8071;8081;1;3;
fixot-brendan-MS-7C02;8071;8082;5;4;
fixot-brendan-MS-7C02;8071;8082;6;1;
fixot-brendan-MS-7C02;8071;8473;6;3;
fixot-brendan-MS-7C02;8071;8172;5;15;
fixot-brendan-MS-7C02;8071;8172;6;10;
fixot-brendan-MS-7C02;8071;8163;1;6;
fixot-brendan-MS-7C02;8071;8163;3;3;
fixot-brendan-MS-7C02;8071;8163;4;8;
fixot-brendan-MS-7C02;8071;8163;5;10;
fixot-brendan-MS-7C02;8071;8163;6;1;
fixot-brendan-MS-7C02;8071;8272;1;9;
fixot-brendan-MS-7C02;8071;8272;3;5;
fixot-brendan-MS-7C02;8071;8272;5;1;
fixot-brendan-MS-7C02;8071;8071;5;29;
fixot-brendan-MS-7C02;8071;8320;1;1;
fixot-brendan-MS-7C02;8071;8320;3;11;
fixot-brendan-MS-7C02;8071;8164;1;2;
fixot-brendan-MS-7C02;8071;8164;3;4;
fixot-brendan-MS-7C02;8071;8164;4;6;
fixot-brendan-MS-7C02;8071;8164;6;5;
fixot-brendan-MS-7C02;8071;8271;4;2;
fixot-brendan-MS-7C02;8071;8271;6;17;
fixot-brendan-MS-7C02;8071;8215;2;4;
fixot-brendan-MS-7C02;8071;8469;6;3;
fixot-brendan-MS-7C02;8071;8480;3;12;
fixot-brendan-MS-7C02;8071;8273;5;12;
fixot-brendan-MS-7C02;8071;8273;6;3;
fixot-brendan-MS-7C02;8071;8305;2;22;
fixot-brendan-MS-7C02;8071;8321;1;10;
fixot-brendan-MS-7C02;8071;8321;2;11;
fixot-brendan-MS-7C02;8071;8353;5;3;
fixot-brendan-MS-7C02;8071;8401;1;14;
fixot-brendan-MS-7C02;8071;8417;5;18;
fixot-brendan-MS-7C02;8071;8417;6;1;
