scaling,model,mpi_rank,max_depth,num_threads,use_omp,train_time_mean,train_time_std,eval_time_mean,eval_time_std,mse_mean,mse_std,mae_mean,mae_std,n_estimators,criteria,which_loss_function,learning_rate,num_leaves,subsample,colsample_bytree
weak,Bagging,1,10,2,1,1.9107033333333328,0.0136579655228084,0.0098042933333333,9.995233008233856e-05,0.0002639683333333,7.64831381562121e-06,,,200.0,0.0,0.0,,,,
weak,Bagging,1,10,4,1,1.9097566666666663,0.005100943267889,0.0109023033333333,0.0009026382568276,0.000251651,9.183288336247897e-06,,,200.0,0.0,0.0,,,,
weak,Bagging,1,10,6,1,1.9057233333333332,0.0060056214406911,0.00945443,0.0001703914635968,0.0002578166666666,1.2574900300024478e-05,,,200.0,0.0,0.0,,,,
weak,Bagging,1,10,1,1,1.89103,0.0097674698190814,0.0101288033333333,0.000109697383844,0.0002588923333333,2.2976337586501597e-06,,,200.0,1.0,1.0,,,,
weak,Bagging,1,10,2,1,1.90474,0.0167114471745167,0.0098679099999999,0.0002711213451574,0.0002781923333333,1.0850690495181496e-05,,,200.0,1.0,1.0,,,,
weak,Bagging,1,10,4,1,1.8977833333333327,0.0030120793851128,0.0101249066666666,0.0001786430409752,0.0002398186666666,7.778099567946465e-06,,,200.0,1.0,1.0,,,,
weak,Bagging,1,10,6,1,1.9109866666666668,0.0125783765071472,0.0096910466666666,9.349396926480813e-05,0.0002537726666666,9.795408323404502e-06,,,200.0,1.0,1.0,,,,
weak,Boosting,1,10,1,1,2.632363333333333,0.0335100147551278,0.0027484133333333,9.458310008781812e-05,0.0001944339999999,2.710505431213761e-20,,,200.0,0.0,0.0,0.1,,,
weak,Boosting,1,10,2,1,2.608893333333333,0.0034176827757349,0.00282202,0.0001272418581547,0.0001944339999999,2.710505431213761e-20,,,200.0,0.0,0.0,0.1,,,
weak,Boosting,1,10,4,1,2.605506666666667,0.0002654974366898,0.0027769166666666,9.856988259887276e-05,0.0001944339999999,2.710505431213761e-20,,,200.0,0.0,0.0,0.1,,,
weak,Boosting,1,10,6,1,2.622856666666667,0.0022758783408218,0.0029260033333333,9.521570400353552e-05,0.0001944339999999,2.710505431213761e-20,,,200.0,0.0,0.0,0.1,,,
weak,Boosting,1,10,1,1,2.608823333333333,0.0022957545358528,0.0028464833333333,0.0001817819489266,0.0001944339999999,2.710505431213761e-20,,,200.0,1.0,1.0,0.1,,,
weak,Boosting,1,10,2,1,2.614126666666667,0.0139678400461759,0.00306598,0.0002036784853635,0.0001944339999999,2.710505431213761e-20,,,200.0,1.0,1.0,0.1,,,
weak,Boosting,1,10,4,1,2.6413933333333337,0.0217125406671403,0.02131245,0.0095860590200039,0.0001944339999999,2.710505431213761e-20,,,200.0,1.0,1.0,0.1,,,
weak,Boosting,1,10,6,1,2.6314999999999995,0.0142803664752228,0.0061507066666666,0.0030413325858832,0.0001944339999999,2.710505431213761e-20,,,200.0,1.0,1.0,0.1,,,
weak,LightGBM,1,10,1,1,0.0964214333333333,0.0007576137817002,0.0130015,0.0001424226339689,0.000102335,0.0,0.00486759,0.0,200.0,,,0.1,31.0,0.8,0.8
weak,LightGBM,1,10,2,1,0.0945297,0.0029903109882864,0.0129980999999999,4.413804103793786e-05,0.000102335,0.0,0.00486759,0.0,200.0,,,0.1,31.0,0.8,0.8
weak,LightGBM,1,10,4,1,0.0958156,0.0007548868524487,0.0128218,0.0001160724199225,0.000102335,0.0,0.00486759,0.0,200.0,,,0.1,31.0,0.8,0.8
weak,LightGBM,1,10,6,1,0.0938898333333333,0.0026674588110951,0.0128406,7.874566654743618e-05,0.000102335,0.0,0.00486759,0.0,200.0,,,0.1,31.0,0.8,0.8
