scaling,model,max_depth,num_threads,use_omp,train_time_mean,train_time_std,eval_time_mean,eval_time_std,mse_mean,mse_std,mae_mean,mae_std,n_estimators,criteria,which_loss_function,learning_rate,num_leaves,subsample,colsample_bytree,min_data_leaf,num_bins,use_dart,dropout_rate,skip_drop_rate,binning_method
strong,DecisionTree,6,1,1,0.046133733333333336,0.025688489982913013,0.00019512999999999998,1.616931249826863e-06,6.78693e-05,0.0,0.00519225,0.0,,,,,,,,,,,,,
strong,DecisionTree,6,2,1,0.05995893333333333,0.00032721104640413433,0.00020326333333333334,3.9600533105278055e-06,6.78693e-05,0.0,0.00519225,0.0,,,,,,,,,,,,,
strong,DecisionTree,6,3,1,0.060153033333333335,0.0001792140123489852,0.00020441333333333334,2.0138409955990935e-06,6.78693e-05,0.0,0.00519225,0.0,,,,,,,,,,,,,
strong,DecisionTree,6,4,1,0.0489808,0.003349684128391811,0.00022091000000000002,2.157440613319402e-05,6.78693e-05,0.0,0.00519225,0.0,,,,,,,,,,,,,
strong,DecisionTree,6,5,1,0.04829053333333333,0.0015085451210428596,0.00022613666666666666,2.6676469448227636e-05,6.78693e-05,0.0,0.00519225,0.0,,,,,,,,,,,,,
strong,DecisionTree,6,6,1,0.04557943333333333,0.0008767299634943983,0.00021022333333333334,6.379834550275494e-06,6.78693e-05,0.0,0.00519225,0.0,,,,,,,,,,,,,
strong,Bagging,6,1,1,6.172536666666667,0.03740386462504786,0.02680616666666667,0.00026580940958179387,4.8523566666666664e-05,1.9648111585821303e-07,0.0046052433333333325,9.509242287842245e-06,200.0,0.0,0.0,,,,,,,,,,
strong,Bagging,6,2,1,6.100866666666666,0.012065267874725605,0.0278427,0.0005102989907887345,4.83254e-05,1.2712167399778832e-07,0.0045688533333333335,1.2407203105006576e-05,200.0,0.0,0.0,,,,,,,,,,
strong,Bagging,6,3,1,4.245413333333333,0.026602784733097833,0.0311203,0.00018345529882417196,4.80489e-05,4.240485428187037e-07,0.004555753333333333,1.2948694485888833e-05,200.0,0.0,0.0,,,,,,,,,,
strong,Bagging,6,4,1,3.414023333333333,0.029900693786079464,0.03410283333333333,0.000256060153523001,4.773523333333334e-05,1.7725214325612224e-06,0.004532426666666666,5.295822840272813e-05,200.0,0.0,0.0,,,,,,,,,,
strong,Bagging,6,5,1,3.21972,0.008053847941615703,0.03694993333333333,0.0007334349156916097,4.7237099999999995e-05,5.641629079146071e-07,0.004564256666666666,1.4130662483486707e-05,200.0,0.0,0.0,,,,,,,,,,
strong,Bagging,6,6,1,3.1875099999999996,0.026766644665827455,0.03807460000000001,0.0011913483145858986,4.714583333333333e-05,4.292578427420457e-07,0.004564573333333333,1.3924928086788037e-05,200.0,0.0,0.0,,,,,,,,,,
strong,Boosting,6,1,1,5.771163333333334,0.005977409323630084,0.006569833333333333,0.001934124809870231,1.2972033333333332e-05,2.3334714244851673e-08,0.0020876566666666665,1.1187592333572861e-06,200.0,0.0,0.0,0.1,,,,,,,,,
strong,Boosting,6,2,1,14.6534,0.027930031626667823,0.007144393333333333,0.00019836176266833493,1.29722e-05,0.0,0.00208805,0.0,200.0,0.0,0.0,0.1,,,,,,,,,
strong,Boosting,6,3,1,14.839699999999999,0.08985035707589997,0.008045006666666667,0.0005357661903811735,1.29722e-05,0.0,0.00208805,0.0,200.0,0.0,0.0,0.1,,,,,,,,,
strong,Boosting,6,4,1,13.956633333333334,0.06838744199209601,0.008525616666666668,0.00016588111914527532,1.29722e-05,0.0,0.00208805,0.0,200.0,0.0,0.0,0.1,,,,,,,,,
strong,Boosting,6,5,1,13.933433333333333,0.04265632687213294,0.008082243333333334,0.0004037028440435969,1.29722e-05,0.0,0.00208805,0.0,200.0,0.0,0.0,0.1,,,,,,,,,
strong,Boosting,6,6,1,14.143466666666667,0.15010263895822182,0.009136963333333333,0.001094913295085759,1.29722e-05,0.0,0.00208805,0.0,200.0,0.0,0.0,0.1,,,,,,,,,
strong,LightGBM,6,1,1,0.22435433333333335,0.00022932558126432658,0.04567986666666667,0.0008002464717545179,1.1859299999999998e-05,1.6940658945086007e-21,0.00203738,0.0,200.0,,,0.1,31.0,0.8,0.8,,,,,,
strong,LightGBM,6,2,1,0.224251,0.0003010193792211217,0.044980700000000005,1.9356824808492402e-05,1.1859299999999998e-05,1.6940658945086007e-21,0.00203738,0.0,200.0,,,0.1,31.0,0.8,0.8,,,,,,
strong,LightGBM,6,3,1,0.22452866666666668,0.0007795837920896577,0.045394566666666664,0.00012164073696294794,1.1859299999999998e-05,1.6940658945086007e-21,0.00203738,0.0,200.0,,,0.1,31.0,0.8,0.8,,,,,,
strong,LightGBM,6,4,1,0.224415,0.0004871392682454105,0.045738466666666665,0.0006460409292159591,1.1859299999999998e-05,1.6940658945086007e-21,0.00203738,0.0,200.0,,,0.1,31.0,0.8,0.8,,,,,,
strong,LightGBM,6,5,1,0.22385533333333332,0.0005733191858719568,0.045529966666666664,0.00025820281864370715,1.1859299999999998e-05,1.6940658945086007e-21,0.00203738,0.0,200.0,,,0.1,31.0,0.8,0.8,,,,,,
strong,LightGBM,6,6,1,0.224,0.00022131124387763117,0.04553636666666667,0.0004110389303000654,1.1859299999999998e-05,1.6940658945086007e-21,0.00203738,0.0,200.0,,,0.1,31.0,0.8,0.8,,,,,,
strong,AdvGBDT,6,1,1,0.938152,0.04688143413619792,0.0285759,3.9555567946315225e-05,0.000162566,0.0,0.00685916,0.0,200.0,,,0.1,,,,20.0,255.0,1.0,0.5,0.3,1.0
