scaling,model,max_depth,num_threads,use_omp,train_time_mean,train_time_std,eval_time_mean,eval_time_std,mse_mean,mse_std,mae_mean,mae_std,n_estimators,criteria,which_loss_function,learning_rate,num_leaves,subsample,colsample_bytree,min_data_leaf,num_bins,use_dart,dropout_rate,skip_drop_rate,binning_method
strong,AdvGBDT,10,2,1,8.051806666666666,0.02231319689232265,0.04520596666666667,0.0002635953633043564,1.61737e-05,0.0,0.00238089,0.0,200.0,,,0.1,,,,20.0,255.0,1.0,0.5,0.3,1.0
strong,AdvGBDT,10,3,1,7.089676666666667,0.02808455012200736,0.0307164,0.0002162462176933191,1.61737e-05,0.0,0.00238089,0.0,200.0,,,0.1,,,,20.0,255.0,1.0,0.5,0.3,1.0
strong,AdvGBDT,10,4,1,7.659636666666667,0.06169993102823478,0.0234882,5.521430973941445e-05,1.61737e-05,0.0,0.00238089,0.0,200.0,,,0.1,,,,20.0,255.0,1.0,0.5,0.3,1.0
strong,AdvGBDT,10,5,1,7.049203333333334,0.026812814515120076,0.019163366666666667,0.0002085760665933557,1.61737e-05,0.0,0.00238089,0.0,200.0,,,0.1,,,,20.0,255.0,1.0,0.5,0.3,1.0
strong,AdvGBDT,10,6,1,8.159233333333333,0.1694774528432088,0.0159711,0.00012670501173986766,1.61737e-05,0.0,0.00238089,0.0,200.0,,,0.1,,,,20.0,255.0,1.0,0.5,0.3,1.0
weak,DecisionTree,10,1,1,0.06987356666666666,0.00427877900522515,6.806333333333332,0.392089558930383,0.0004905406666666667,3.0711329433216327e-06,0.0108194,3.331035874919362e-05,,,,,,,,,,,,,
weak,DecisionTree,10,2,1,0.027186733333333334,6.792850817015026e-05,0.00013213966666666664,8.139247849497841e-07,0.000305357,0.0,0.00884728,0.0,,,,,,,,,,,,,
weak,DecisionTree,10,3,1,0.041780466666666675,0.00010457409919393205,0.000181143,2.9736080216912733e-06,0.00035380399999999993,5.421010862427522e-20,0.00882807,0.0,,,,,,,,,,,,,
weak,DecisionTree,10,4,1,0.04296836666666667,0.0031969229938941103,0.0002559556666666667,3.227861349080683e-06,0.000117244,0.0,0.0050037,0.0,,,,,,,,,,,,,
weak,DecisionTree,10,5,1,0.05025466666666667,0.002400511484848363,0.000331276,3.440341753372765e-05,8.545819999999998e-05,1.3552527156068805e-20,0.0041885,0.0,,,,,,,,,,,,,
weak,DecisionTree,10,6,1,0.059832300000000005,0.002201384169108154,0.00035912899999999997,1.1128485970697012e-05,3.84635e-05,0.0,0.00342606,0.0,,,,,,,,,,,,,
weak,Bagging,10,1,1,11.064333333333336,0.04908308149341158,0.01814343333333333,0.0001669695647582375,0.00025939766666666666,1.983813476335133e-05,0.007818936666666667,0.00020417867017775258,200.0,0.0,0.0,,,,,,,,,,
weak,Bagging,10,2,1,2.731643333333333,0.0469369224479929,0.036414133333333334,0.0003453798520791594,0.00020157933333333336,3.4953308220475423e-06,0.007315283333333333,5.805994277947207e-05,200.0,0.0,0.0,,,,,,,,,,
weak,Bagging,10,3,1,2.97378,0.025400114172971708,0.07069360000000001,0.0020946301073618374,0.00019290633333333333,2.6123131937465328e-06,0.007136000000000001,2.4430468681546093e-05,200.0,0.0,0.0,,,,,,,,,,
weak,Bagging,10,4,1,3.2024166666666667,0.014795022436241558,0.09372446666666667,0.0011071668297455853,6.379503333333334e-05,2.9177013673247804e-06,0.004259563333333333,8.842040274858621e-05,200.0,0.0,0.0,,,,,,,,,,
weak,Bagging,10,5,1,3.9171633333333333,0.012153244651349607,0.1267553333333333,0.0013080632842319042,3.622896666666666e-05,1.07484126373257e-06,0.00343486,3.821237234195237e-05,200.0,0.0,0.0,,,,,,,,,,
weak,Bagging,10,6,1,4.65772,0.026772265499953565,0.146429,0.0006085408778381335,2.342503333333333e-05,3.998793345775971e-07,0.0029267866666666665,1.722871698324888e-05,200.0,0.0,0.0,,,,,,,,,,
weak,Boosting,10,1,1,1.3234866666666667,0.02953507105497158,0.0011417596666666668,0.0005335511844552082,0.0002957843333333333,3.0839620980522456e-07,0.007780336666666668,7.025479026767822e-06,200.0,0.0,0.0,0.1,,,,,,,,,
weak,Boosting,10,2,1,0.8191956666666665,0.0013814746549329964,0.0018299366666666669,0.0005064961121491677,0.000143771,0.0,0.005983020000000001,8.673617379884035e-19,200.0,0.0,0.0,0.1,,,,,,,,,
weak,Boosting,10,3,1,1.41773,0.005590366714268373,0.008661626666666667,0.009165506699320496,0.000153881,0.0,0.005832939999999999,8.673617379884035e-19,200.0,0.0,0.0,0.1,,,,,,,,,
weak,Boosting,10,4,1,1.5198600000000002,0.01766404445948506,0.0022456966666666665,0.00017447781947539607,4.79702e-05,0.0,0.00364711,0.0,200.0,0.0,0.0,0.1,,,,,,,,,
weak,Boosting,10,5,1,1.8690433333333332,0.004774518009414419,0.00253126,1.1830040856508728e-05,2.7624400000000003e-05,3.3881317890172014e-21,0.00302328,0.0,200.0,0.0,0.0,0.1,,,,,,,,,
weak,Boosting,10,6,1,2.3129433333333336,0.01907536165377266,0.0028527066666666667,0.00010490439372219936,1.53122e-05,0.0,0.0025693,0.0,200.0,0.0,0.0,0.1,,,,,,,,,
weak,LightGBM,10,1,1,0.07801756666666666,6.735341284762305e-05,0.010954833333333332,5.433110424875321e-05,0.00018119299999999998,2.710505431213761e-20,0.00621075,0.0,200.0,,,0.1,31.0,0.8,0.8,,,,,,
weak,LightGBM,10,2,1,0.108691,0.0001006777035892249,0.018537366666666666,0.00014941317062279176,0.000117501,0.0,0.00521557,0.0,200.0,,,0.1,31.0,0.8,0.8,,,,,,
weak,LightGBM,10,3,1,0.13839866666666667,9.776616092606573e-05,0.025694733333333334,0.0001708956081615,9.959060000000002e-05,1.3552527156068805e-20,0.004687,0.0,200.0,,,0.1,31.0,0.8,0.8,,,,,,
weak,LightGBM,10,4,1,0.16200066666666665,0.00029081303654103784,0.02891806666666667,0.0003644763305834218,3.42443e-05,0.0,0.00307812,0.0,200.0,,,0.1,31.0,0.8,0.8,,,,,,
weak,LightGBM,10,5,1,0.19143333333333334,0.00019301352859895166,0.03393276666666666,0.00025293952285521224,1.97923e-05,0.0,0.00239198,0.0,200.0,,,0.1,31.0,0.8,0.8,,,,,,
weak,LightGBM,10,6,1,0.21688233333333332,0.0003523770076999278,0.03755933333333333,0.00011683961466709698,1.07997e-05,0.0,0.00195994,0.0,200.0,,,0.1,31.0,0.8,0.8,,,,,,
weak,AdvGBDT,10,1,1,1.27417,0.001822324522873586,0.0173418,9.587001616772645e-05,0.00023293900000000001,2.710505431213761e-20,0.00730968,0.0,200.0,,,0.1,,,,20.0,255.0,1.0,0.5,0.3,1.0
weak,AdvGBDT,10,2,1,5.57265,0.054040461384657366,0.015347566666666666,9.030279926755054e-05,0.00017850699999999998,2.710505431213761e-20,0.0066494,0.0,200.0,,,0.1,,,,20.0,255.0,1.0,0.5,0.3,1.0
weak,AdvGBDT,10,3,1,4.929963333333334,0.037386006591890626,0.014563,0.00012258036819436707,0.000147889,0.0,0.006089340000000001,8.673617379884035e-19,200.0,,,0.1,,,,20.0,255.0,1.0,0.5,0.3,1.0
weak,AdvGBDT,10,4,1,8.254743333333334,0.024282778991613733,0.018827466666666667,4.4359616269254845e-05,4.4596300000000005e-05,6.776263578034403e-21,0.00364209,0.0,200.0,,,0.1,,,,20.0,255.0,1.0,0.5,0.3,1.0
weak,AdvGBDT,10,5,1,6.501276666666667,0.018754701336524075,0.016278633333333334,7.288641086573574e-05,2.51593e-05,0.0,0.00286135,0.0,200.0,,,0.1,,,,20.0,255.0,1.0,0.5,0.3,1.0
weak,AdvGBDT,10,6,1,8.149733333333334,0.2059565252398886,0.0163289,0.00040633494393993035,1.61737e-05,0.0,0.00238089,0.0,200.0,,,0.1,,,,20.0,255.0,1.0,0.5,0.3,1.0
