ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 129;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];Innermost;0.019999999552965;0.0082352934405208;5.8823533058167;1.75 - 1.41;1.78;5.19;1.83 - 1.41;2049;13.87;28.25;55.00;31.50 - 39.00;30.88;10.60;30.00 - 39.00
Loop 128;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];Innermost;0.0099999997764826;0.0035294115077704;2.5210084915161;4.22;2.26;6.07;12.67;1;0.00;24.43;12.67;3.00;5.60;2.09;1.00
Loop 150;MainEnsemble;;void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Val_less_iter);Single;0.0049999998882413;0.0011764705413952;0.84033614397049;1.00;1.00;4.00;18.00;1;0.00;25.00;9.00;9.00;9.00;2.25;0.50
Loop 145;MainEnsemble;;std::pair<double, int>* std::__relocate_a_1<std::pair<double, int>*, std::pair<double, int>*, std::allocator<std::pair<double, int> > >(std::pair<double, int>*, std::pair<double, int>*, std::pair<double, int>*, std::allocator<std::pair<double, int> >&);Single;0.0049999998882413;0.0011764705413952;0.84033614397049;1.00;1.00;4.00;2.13;1;0.00;25.00;5.33;5.33;5.33;1.33;2.50
Loop 139;MainEnsemble;;void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, long, __gnu_cxx::__ops::_Iter_less_iter);Single;0.0049999998882413;0.0011764705413952;0.84033614397049;1.00;1.00;4.00;6.67;1;0.00;25.00;6.67;6.67;6.67;1.67;1.00
