ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 792;MainEnsemble;;DecisionTreeSingle::findBestSplitOMP(std::vector<double, std::allocator<double> > const&, int, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double) [clone ._omp_fn.0];InBetween;0.0099999997764826;0.003674772568047;0.7902734875679;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 787;MainEnsemble;;DecisionTreeSingle::predict(double const*, int) const;Innermost;0.045000001788139;0.0025440736208111;0.54711246490479;1.00;1.00;4.00;1.00;1;0.00;25.00;3.00;3.00;3.00;0.75;3.00
Loop 257;MainEnsemble;;DataIO::readCSV(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int&);Innermost;0.0049999998882413;0.00028267479501665;0.06079026684165;3.95;1.00;9.09;4.28;32;13.89;25.78;25.67;6.50;25.67;2.82;6.00
Loop 427;MainEnsemble;;FeatureImportance::calculateNodeImportances(DecisionTreeSingle::Tree const*, double, double);Innermost;0.0049999998882413;0.00028267479501665;0.06079026684165;1.00;1.00;4.00;1.00;1;0.00;25.00;3.00;3.00;3.00;0.75;3.00
Loop 425;MainEnsemble;;FeatureImportance::calculateNodeImportances(DecisionTreeSingle::Tree const*, double, double);Outermost;0.0049999998882413;0.00028267479501665;0.06079026684165;3.58;2.09;6.40;3.58;12;0.00;22.92;7.17;2.00;3.42;1.12;2.00
Loop 263;MainEnsemble;;std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, double> >*) [clone .isra.0];InBetween;0.0049999998882413;0.00028267479501665;0.06079026684165;1.00;1.00;7.33;3.50;17;0.00;20.83;3.50;3.50;3.50;0.48;1.00
Loop 769;MainEnsemble;;void std::__insertion_sort<__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__normal_iterator<std::pair<double, int>*, std::vector<std::pair<double, int>, std::allocator<std::pair<double, int> > > >, __gnu_cxx::__ops::_Iter_less_iter) [clone .isra.0];Innermost;0.0049999998882413;0.00028267479501665;0.06079026684165;2.00;1.50;8.00;32.00;1;0.00;18.94;16.00;8.00;10.67;2.00;0.50
Loop 857;MainEnsemble;;Math::calculateMSEWithIndices(std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&);Single;0.0049999998882413;0.00028267479501665;0.06079026684165;1.00;1.00;1.60;2.67;1;33.33;41.67;16.00;16.00;16.00;10.00;6.00
Loop 856;MainEnsemble;;Math::calculateMSEWithIndices(std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&);Single;0.00499999942258;0.00028267479501665;0.06079026684165;1.00;1.00;1.60;2.67;1;46.67;53.33;16.00;16.00;16.00;10.00;6.00
Loop 422;MainEnsemble;;FeatureImportance::calculateNodeImportances(DecisionTreeSingle::Tree const*, double, double);Outermost;0.0049999998882413;0.00028267479501665;0.06079026684165;3.58;2.22;6.59;3.58;12;0.00;22.92;7.17;2.00;3.23;1.09;2.00
