group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;MOV,MOV,;8,0,;0x38db2,0x38db6,;Not found;0;Success;16;16;0;16;0;2;
7;LLLSSLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,;-72,-56,-56,-48,-40,-56,-72,;0x38d83,0x38d87,0x38e15,0x38db9,0x38dbd,0x38dd5,0x38dd9,;Success;0;Success;56;32;24;40;0;1;
